,opinion_id,author,recommendation,score,purchased,published_at,purchased_at,thumbs_up,thumbs_down,content,pros,cons
0,17644074,h...z,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-24 10:14:32,2023-06-18 15:04:42,0,0,"#Promocja-Galaxy 
Telefon jest szybki, działa bez zacięć. Robi dobre zdjęcia, bateria trzyma dwa dni,
bardzo dobry głośnik. Dużym plusem jest że ma miejsce na kartę microSD.
Bardzo dobry smartfon. Jestem bardzo zadowolona z zakupu.",[],[]
1,17497612,M...k,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-05-11 18:21:22,2023-04-11 10:11:56,4,2,"Przesiadłam się z Samsunga A50 na A54 więc przeskok jest spory. Nie lubię zbyt często zmieniać telefonu więc pomyślałam że poprostu przesiądę się na nowszy model. A53 mnie nie przekonało więc czekałam na A54. Po miesiącu użytkowania mogę powiedzieć że:
*robi fajne zdjęcia, 
*bluetooth szybko paruje się z urzadzeniami, 
*jakość rozmów jest dobra,
*aplikacje socjal mediów się nie zacinają,
*szybko łączy się z internetem czy to WiFi czy transmisja danych,
*bateria trzyma cały dzień,
*bardzo fajny głośnik.
Z wad to napewno brak wejścia mini jack  oraz raz zawiesił się podczas oglądania filmu na disney+. Czy polecam ten telefon? Dla osoby która nie gra w gry tylko zależy jej na dobrych zdjęciach, długim wsparciu że strony producenta oraz żeby apki płynnie śmigały to jak najbardziej.","['czas pracy na baterii', 'długie wsparcie', 'głośnik', 'łatwość obsługi', 'szybki bluetooth', 'wygląd']",['brak minijack']
2,17646953,p...a,Polecam,"4,5/5",Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-26 11:12:01,2023-06-20 21:11:55,0,0,"Design miły dla oka, wielki plus za szkło z tyłu,. Telefon jest dość szeroki ale to mi absolutnie nie przeszkadza a wręcz dla mnie jest to atut. Super jasny ekran o dobrej jakości. Aparat robi dobre zdjęcia zarówno w dzień jak i w nocy. Co ważne dla mnie to to że aparat nie przekłamuje kolorów a zdjęcia są ostre. Głośniki mają na prawdę dobra jakość. Ogólne użytkowanie oceniam na 9/10, ponieważ bateria w nocy zaskakująco szybko spada (nawet o 20%) z czym się nie spotkałam w poprzednich modelach telefonów. Mimo tego bateria wytrzymuje cały dzień intensywnego użytkowania bez włączonego oszczędzania baterii i włączoną transmisją danych. Z minusów oprócz działania baterii w nocy mogę wymienić ewentualnie długość jej ładowania mimo super szybkiego trybu ładownia od 6 do 100% ładuje się w ponad godzinę, a w porowanaiu do wcześniejszego telefonu jest to spora różnica. Podsumowując - po ok. tygodniu używania - polecam. Za cenę 1599 zł myślę, że warty kupna.","['czas pracy na baterii', 'długie wsparcie', 'funkcjonalność', 'głośnik', 'łatwość obsługi', 'szybki bluetooth', 'wygląd']",[]
3,17525754,w...3,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-05-19 11:08:51,2023-05-14 16:38:49,1,0,Jestem zadowolony z produktu,"['czas pracy na baterii', 'funkcjonalność', 'łatwość obsługi', 'wygląd']",[]
4,17450857,Mateusz,Polecam,4/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-04-27 10:18:05,2023-04-23 16:43:35,9,1,"Telefon sprzętowo jest super pod każdym względem. Bateria z biedą wytrzyma nawet 2 dni. 2 miejsca na karty SIM i obsługuje eSIM (super!). Wspiera VoWifi i VoLTE. Jest miejsce na microSD. Dobre głośniki, ekran i wystarczająco szybki procesor do bardzo komfortowej pracy. Nie jestem ekspertem od kamery, ale wydaje się pstrykać bardzo ładne zdjęcia. Na dzień dzisiejszy w zasadzie nie widzę sensu kupowania dwa razy droższej serii S, bo dodatkowa prędkość procesora jest po prostu niepotrzebna, a aparat jest dobry nawet w serii A.

Duży minus to ogramna ilość niepotrzebnego oprogramowania jakie Samsung pakuje do swoich produktów (tak zwane bloatware) i ciągłe namawianie na założenie konta Samsung i konta Google. Do usunięcia części denerwującego oprogramowania trzeba używać komputera i magicznych narzędzi, które nie są możliwe do obsługi przez przeciętną osobę. Jeszcze lepiej byłoby gdyby Samsung pozwalał łatwo wgrywać alternatywny system operacyjny.","['czas pracy na baterii', 'łatwość obsługi']",['bloatware']
5,17650751,Krzysztof H.,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-27 11:17:38,2023-06-12 19:59:54,0,0,"Telefon przyzwoicie zapakowany, ale wyposażenie budżetowe. W zestawie tylko kabel usb CC, który bardzo ułatwia transfer danych i ustawień ze starego telefonu. Średniak z dobrym aparatem, pojemną baterią i pewnie działającym czytnikiem linii papilarnych. Polecam.","['czas pracy na baterii', 'funkcjonalność', 'łatwość obsługi', 'wygląd']",[]
6,17520342,m...a,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-05-18 08:41:52,2023-05-09 13:11:43,2,0,"#Promocja-Galaxy Telefon jest śliczny, bardzo poręczny i funkcjonalny. Jestem bardzo zadowolona z jakości zdjęć. To ogromny plus. Wad nie zauważyłam:)","['bloatware', 'czas pracy na baterii', 'długie wsparcie', 'funkcjonalność', 'głośnik', 'łatwość obsługi', 'szybki bluetooth', 'wygląd']",[]
7,17467799,p...k,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-05-03 08:58:00,2023-04-17 10:42:58,2,1,"Telefon mam od kilku dni, więc nie jest to recenzja długoterminowa. Bardziej - pierwsze wrażenia użytkowania.
Telefon w porównaniu do poprzedniej generacji wygląda dużo, dużo lepiej. Wykonany jest z lepszych materiałów i to po prostu czuć w dłoni.

Nakładka systemowa Samsunga - One UI 5.1 jest w porządku. Przesiadłem się z A53 więc trudno o ekscytację w tym temacie ale jeśli planujesz zmianę ze starszego Xiaomi to jest duża szansa że poczujesz dużą ulgę. Samsung deklaruje długie wspieranie urządzeń i aktualizacje rzeczywiście pojawiają się regularnie. Doceniam to.

Bateria działa wyraźnie lepiej niż u mojego poprzednika, którego czas pracy bywał rozczarowujący. Nie jestem graczem, telefon służy mi do normalnej pracy, nawigacji, social media. Teraz wytrzymuje 1.5 dnia i to jest duży plus.

Ekran, aparaty, głośniki są po prostu w porządku. Podsumowując: Elementy zwykłego średniaka zostały ubrane w droższą obudowę.

Wady: Prędkość ładowania baterii. 25W jest poniżej oczekiwań. Słabe jest to że Samsung nie dodaje nic prócz kabla USB.
Zwykły silikonowy case czy ładowarka w tej cenie telefonu powinny po prostu być w zestawie.

Czy jestem zadowolony? Wiedziałem czego się spodziewać i dokładnie to otrzymałem. Obsługa sklepu x-kom bez jakichkolwiek problemów",[],[]
8,17406009,a...o,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-04-15 12:05:03,2023-03-26 11:00:03,1,1,Mam go dwa tygodnie. Wszystko sprawuje sie super. Na poczatku byly duze spadki baterii w nocy(nawet 30 procent) pomimo ze wszystko bylo wylaczone ( ale podobno tak sie dzieje). Teraz juz jest  ok.,[],[]
9,17620210,r...l,Polecam,5/5,Transakcja pochodzi z Marketplace Ceneo (usługi Kup Teraz).,2023-06-16 20:35:31,2023-06-07 23:00:02,0,0,"I received the phone in very good condition.  I have been using it for almost a week now.  I am still learning how to use it,  but I  think it is a great device that surely serves its purpose.",[],[]
